OID,UCS,UCS_F,PAISAJE,CLIMA,TIPO_RELIE,LITOLOGÍA,CARACTERÍ,CARACTER_1,COMPONENTE,PERFIL,PORCENTAJE,FORMA_TERR,Conteo,Suelo1,Suelo2,Suelo3,Suelo4,Perfil1,Perfil2,Perfil3,Porcent1,Porcent2,Porcent3,Porcent4,Index_Taxo,Index_Prop,Unit_Carto,Departamen
-1,RUJ,RUJb,Planicie Fluviomarina,Calido humedo muy humedo y pluvial,Terraza,Depositos clasticos hidrogenicos (limos y arcillas marinos), ,"Profundos a moderadamente profundos, imperfecta a bien drenados, fuerte a extremadamente acidos, texturas variables, fertilidad baja a muy baja",Asociacion: Oxic Dystrudepts; Fluvaquentic Dystrudepts,"P-16, P-15, P-17","50, 40", ,2,Oxic_Dystrudepts,Fluvaquentic_Dystrudepts,NA,NA,"P-16, P-15, P-17",NA,NA,50,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,RUK,RUKaz,Planicie Fluviomarina,Calido humedo muy humedo y pluvial,Plano deltaico,Depositos clasticos hidrogenicos mixtos fluviomarinos, ,"Muy superficiales a moderadamente profundos, pobre a imperfectamente drenados, fuertemente acidos, texturas moderadamente finas y finas, fertilidad moderada a muy baja",Complejo: Fluvaquentic Endoaquepts; Fluvaquentic Dystrudepts,"VL-724, VL-49","50, 30", ,2,Fluvaquentic_Endoaquepts,Fluvaquentic_Dystrudepts,NA,NA,"VL-724, VL-49",NA,NA,50,30,NA,NA,0.000000000000000,0.000000000000000,Complejo,Choco
-1,VUA,VUAa,Valle,Calido muy humedo y pluvial,Plano de inundacion,Depositos clasticos hidrogenicos (limos y arenas), ,"Moderadamente profundos, drenaje imperfecto, extremadamente acidos, contenidos de materia organica altos a bajos, texturas medias a finas, fertilidad baja a moderada",Asociacion: Oxyaquic Udifluvents; Aeric Epiaquepts,"CH-25, CH-32","50, 40", ,2,Oxyaquic_Udifluvents,Aeric_Epiaquepts,NA,NA,"CH-25, CH-32",NA,NA,50,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,VUA,VUAa,Valle,Calido muy humedo y pluvial,Plano de inundacion,Depositos clasticos hidrogenicos (limos y arenas), ,"Moderadamente profundos, drenaje imperfecto, extremadamente acidos, contenidos de materia organica altos a bajos, texturas medias a finas, fertilidad baja a moderada",Asociacion: Oxyaquic Udifluvents; Aeric Epiaquepts,"CH-25, CH-32","50, 40", ,2,Oxyaquic_Udifluvents,Aeric_Epiaquepts,NA,NA,"CH-25, CH-32",NA,NA,50,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,LUA,LUAe,Lomerio Denudacional,Calido muy humedo y pluvial,Lomas y colinas,Rocas sedimentarias clasticas limo arcillosas, ,"Moderadamente profundos a profundos, bien drenados, muy fuerte a fuertemente acidos, contenidos de materia organica altos a moderados, texturas moderadamente finas, fertilidad baja a muy baja",Asociacion: Typic Hapludults; Typic Dystrudepts,"CH-2, CH-26","50, 30", ,2,Typic_Hapludults,Typic_Dystrudepts,NA,NA,"CH-2, CH-26",NA,NA,50,30,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,LUB,LUBe,Lomerio Denudacional,Calido muy humedo y pluvial,"Lomas, colinas y crestas",Rocas sedimentarias clasticas limo arcillosas con inclusiones de rocas sedimentarias clasticas arenosas, ,"Moderadamente profundos, bien drenados, fuerte a extremadamente acidos, contenidos altos y bajos de materia organica, texturas medias a moderadamente finas, fertilidad baja a muy baja",Asociacion: Oxic Dystrudepts; Typic Dystrudepts; Typic Hapludults,"CH-23, CH-34, CH-8","40, 40, 20", ,3,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Hapludults,NA,"CH-23, CH-34, CH-8",NA,NA,40,40,20,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,LUD,LUDd,Lomerio Denudacional,Calido muy humedo y pluvial,Lomas y colinas,"Rocas sedimentarias clasticas, arcillo-limosas y arenosas", ,"Profundos, bien drenados, fuerte a muy fuertemente acidos, texturas finas a medias, fertilidad baja",Asociacion: Oxic Dystrudepts; Inceptic Hapludox,"P-22, P-18","50, 30", ,2,Oxic_Dystrudepts,Inceptic_Hapludox,NA,NA,"P-22, P-18",NA,NA,50,30,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,LUD,LUDd,Lomerio Denudacional,Calido muy humedo y pluvial,Lomas y colinas,"Rocas sedimentarias clasticas, arcillo-limosas y arenosas", ,"Profundos, bien drenados, fuerte a muy fuertemente acidos, texturas finas a medias, fertilidad baja",Asociacion: Oxic Dystrudepts; Inceptic Hapludox,"P-22, P-18","50, 30", ,2,Oxic_Dystrudepts,Inceptic_Hapludox,NA,NA,"P-22, P-18",NA,NA,50,30,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,LUD,LUDd,Lomerio Denudacional,Calido muy humedo y pluvial,Lomas y colinas,"Rocas sedimentarias clasticas, arcillo-limosas y arenosas", ,"Profundos, bien drenados, fuerte a muy fuertemente acidos, texturas finas a medias, fertilidad baja",Asociacion: Oxic Dystrudepts; Inceptic Hapludox,"P-22, P-18","50, 30", ,2,Oxic_Dystrudepts,Inceptic_Hapludox,NA,NA,"P-22, P-18",NA,NA,50,30,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,LUM,LUMd,Lomerio Estructural,Calido muy humedo y pluvial,Barras homoclinales,Rocas sedimentarias clasticas arenosas (areniscas) y limoarcillosas (limolitas y lodolitas), ,"Profundos a moderadamente profundos, bien drenados, fuerte a muy fuertemente acidos, texturas medias a finas, fertilidad baja",Grupo indiferenciado: Typic Dystrudepts; Oxic Dystrudepts,"VL-725, VG-50","40, 40", ,2,Typic_Dystrudepts,Oxic_Dystrudepts,NA,NA,"VL-725, VG-50",NA,NA,40,40,NA,NA,0.000000000000000,0.000000000000000,Grupo_indiferenciado,Choco
-1,LUN,LUNf,Lomerio Estructural,Calido muy humedo y pluvial,Espinazos,Rocas sedimentarias clasticas arenosas (areniscas) y conglomeraticas, ,"Profundos, bien drenados, muy fuerte a extremadamente acidos, contenidos altos y bajos de materia organica, texturas moderadamente finas, fertilidad baja",Asociacion: Typic Dystrudepts; Typic Hapludults,"CH-31, CH-29,","50, 35", ,2,Typic_Dystrudepts,Typic_Hapludults,NA,NA,"CH-31, CH-29,",NA,NA,50,35,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,LUN,LUNf,Lomerio Estructural,Calido muy humedo y pluvial,Espinazos,Rocas sedimentarias clasticas arenosas (areniscas) y conglomeraticas, ,"Profundos, bien drenados, muy fuerte a extremadamente acidos, contenidos altos y bajos de materia organica, texturas moderadamente finas, fertilidad baja",Asociacion: Typic Dystrudepts; Typic Hapludults,"CH-31, CH-29,","50, 35", ,2,Typic_Dystrudepts,Typic_Hapludults,NA,NA,"CH-31, CH-29,",NA,NA,50,35,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,MOC,MOCf,Montaña Denudacional,Medio pluvial,Filas y vigas,Depositos piroclasticos no consolidados (ceniza) sobre rocas metamorficas de bajo grado, ,"Profundos y moderadamente profundos, muy fuerte a moderadamente acidos, contenidos moderados de materia organica, texturas moderadamente gruesas, fertilidad baja",Grupo indiferenciado: Acrudoxic Hapludands; Andic Dystrudepts,"CH-46, CH-52","50, 40", ,2,Acrudoxic_Hapludands,Andic_Dystrudepts,NA,NA,"CH-46, CH-52",NA,NA,50,40,NA,NA,0.000000000000000,0.000000000000000,Grupo_indiferenciado,Choco
-1,VUD,VUDa,Valle,Calido muy humedo y pluvial,Plano de inundacion,Depositos clasticos hidrogenicos (arcillas y limos), ,"Muy superficiales a profundos, drenaje pobre a moderado, fuerte a muy fuertemente acidos, contenidos altos a moderados de materia organica, texturas variables, fertilidad baja moderada",Asociacion: Fluventic Dystrudepts; Typic Fluvaquents,"CH-22, CH-11","55, 40", ,2,Fluventic_Dystrudepts,Typic_Fluvaquents,NA,NA,"CH-22, CH-11",NA,NA,55,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,VUD,VUDa,Valle,Calido muy humedo y pluvial,Plano de inundacion,Depositos clasticos hidrogenicos (arcillas y limos), ,"Muy superficiales a profundos, drenaje pobre a moderado, fuerte a muy fuertemente acidos, contenidos altos a moderados de materia organica, texturas variables, fertilidad baja moderada",Asociacion: Fluventic Dystrudepts; Typic Fluvaquents,"CH-22, CH-11","55, 40", ,2,Fluventic_Dystrudepts,Typic_Fluvaquents,NA,NA,"CH-22, CH-11",NA,NA,55,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,VUD,VUDa,Valle,Calido muy humedo y pluvial,Plano de inundacion,Depositos clasticos hidrogenicos (arcillas y limos), ,"Muy superficiales a profundos, drenaje pobre a moderado, fuerte a muy fuertemente acidos, contenidos altos a moderados de materia organica, texturas variables, fertilidad baja moderada",Asociacion: Fluventic Dystrudepts; Typic Fluvaquents,"CH-22, CH-11","55, 40", ,2,Fluventic_Dystrudepts,Typic_Fluvaquents,NA,NA,"CH-22, CH-11",NA,NA,55,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,VUD,VUDa,Valle,Calido muy humedo y pluvial,Plano de inundacion,Depositos clasticos hidrogenicos (arcillas y limos), ,"Muy superficiales a profundos, drenaje pobre a moderado, fuerte a muy fuertemente acidos, contenidos altos a moderados de materia organica, texturas variables, fertilidad baja moderada",Asociacion: Fluventic Dystrudepts; Typic Fluvaquents,"CH-22, CH-11","55, 40", ,2,Fluventic_Dystrudepts,Typic_Fluvaquents,NA,NA,"CH-22, CH-11",NA,NA,55,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,VUD,VUDa,Valle,Calido muy humedo y pluvial,Plano de inundacion,Depositos clasticos hidrogenicos (arcillas y limos), ,"Muy superficiales a profundos, drenaje pobre a moderado, fuerte a muy fuertemente acidos, contenidos altos a moderados de materia organica, texturas variables, fertilidad baja moderada",Asociacion: Fluventic Dystrudepts; Typic Fluvaquents,"CH-22, CH-11","55, 40", ,2,Fluventic_Dystrudepts,Typic_Fluvaquents,NA,NA,"CH-22, CH-11",NA,NA,55,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,VUD,VUDa,Valle,Calido muy humedo y pluvial,Plano de inundacion,Depositos clasticos hidrogenicos (arcillas y limos), ,"Muy superficiales a profundos, drenaje pobre a moderado, fuerte a muy fuertemente acidos, contenidos altos a moderados de materia organica, texturas variables, fertilidad baja moderada",Asociacion: Fluventic Dystrudepts; Typic Fluvaquents,"CH-22, CH-11","55, 40", ,2,Fluventic_Dystrudepts,Typic_Fluvaquents,NA,NA,"CH-22, CH-11",NA,NA,55,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,VUD,VUDa,Valle,Calido muy humedo y pluvial,Plano de inundacion,Depositos clasticos hidrogenicos (arcillas y limos), ,"Muy superficiales a profundos, drenaje pobre a moderado, fuerte a muy fuertemente acidos, contenidos altos a moderados de materia organica, texturas variables, fertilidad baja moderada",Asociacion: Fluventic Dystrudepts; Typic Fluvaquents,"CH-22, CH-11","55, 40", ,2,Fluventic_Dystrudepts,Typic_Fluvaquents,NA,NA,"CH-22, CH-11",NA,NA,55,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,VUD,VUDa,Valle,Calido muy humedo y pluvial,Plano de inundacion,Depositos clasticos hidrogenicos (arcillas y limos), ,"Muy superficiales a profundos, drenaje pobre a moderado, fuerte a muy fuertemente acidos, contenidos altos a moderados de materia organica, texturas variables, fertilidad baja moderada",Asociacion: Fluventic Dystrudepts; Typic Fluvaquents,"CH-22, CH-11","55, 40", ,2,Fluventic_Dystrudepts,Typic_Fluvaquents,NA,NA,"CH-22, CH-11",NA,NA,55,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,VUD,VUDa,Valle,Calido muy humedo y pluvial,Plano de inundacion,Depositos clasticos hidrogenicos (arcillas y limos), ,"Muy superficiales a profundos, drenaje pobre a moderado, fuerte a muy fuertemente acidos, contenidos altos a moderados de materia organica, texturas variables, fertilidad baja moderada",Asociacion: Fluventic Dystrudepts; Typic Fluvaquents,"CH-22, CH-11","55, 40", ,2,Fluventic_Dystrudepts,Typic_Fluvaquents,NA,NA,"CH-22, CH-11",NA,NA,55,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,VUD,VUDa,Valle,Calido muy humedo y pluvial,Plano de inundacion,Depositos clasticos hidrogenicos (arcillas y limos), ,"Muy superficiales a profundos, drenaje pobre a moderado, fuerte a muy fuertemente acidos, contenidos altos a moderados de materia organica, texturas variables, fertilidad baja moderada",Asociacion: Fluventic Dystrudepts; Typic Fluvaquents,"CH-22, CH-11","55, 40", ,2,Fluventic_Dystrudepts,Typic_Fluvaquents,NA,NA,"CH-22, CH-11",NA,NA,55,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,VUD,VUDa,Valle,Calido muy humedo y pluvial,Plano de inundacion,Depositos clasticos hidrogenicos (arcillas y limos), ,"Muy superficiales a profundos, drenaje pobre a moderado, fuerte a muy fuertemente acidos, contenidos altos a moderados de materia organica, texturas variables, fertilidad baja moderada",Asociacion: Fluventic Dystrudepts; Typic Fluvaquents,"CH-22, CH-11","55, 40", ,2,Fluventic_Dystrudepts,Typic_Fluvaquents,NA,NA,"CH-22, CH-11",NA,NA,55,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,VUD,VUDa,Valle,Calido muy humedo y pluvial,Plano de inundacion,Depositos clasticos hidrogenicos (arcillas y limos), ,"Muy superficiales a profundos, drenaje pobre a moderado, fuerte a muy fuertemente acidos, contenidos altos a moderados de materia organica, texturas variables, fertilidad baja moderada",Asociacion: Fluventic Dystrudepts; Typic Fluvaquents,"CH-22, CH-11","55, 40", ,2,Fluventic_Dystrudepts,Typic_Fluvaquents,NA,NA,"CH-22, CH-11",NA,NA,55,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,VUD,VUDa,Valle,Calido muy humedo y pluvial,Plano de inundacion,Depositos clasticos hidrogenicos (arcillas y limos), ,"Muy superficiales a profundos, drenaje pobre a moderado, fuerte a muy fuertemente acidos, contenidos altos a moderados de materia organica, texturas variables, fertilidad baja moderada",Asociacion: Fluventic Dystrudepts; Typic Fluvaquents,"CH-22, CH-11","55, 40", ,2,Fluventic_Dystrudepts,Typic_Fluvaquents,NA,NA,"CH-22, CH-11",NA,NA,55,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
