OBJECTID,UCS_F,UCS_TIPO,DEPTO,NUM_SUELOS,NIVEL_TAXO,RAO,NUCLEO
625,PVBa,Asociacion,Caqueta,4,4,0.41,Nucleo 2
626,LVAb,Asociacion,Caqueta,4,4,0.5,Nucleo 2
627,VVDa,Asociacion,Caqueta,4,4,0.55,Nucleo 2
628,LVAc,Asociacion,Caqueta,4,4,0.5,Nucleo 2
629,LVAc,Asociacion,Caqueta,4,4,0.5,Nucleo 2
630,LVAc,Asociacion,Caqueta,4,4,0.5,Nucleo 2
631,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
631,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
632,LVAc,Asociacion,Caqueta,4,4,0.5,Nucleo 2
633,LVAc,Asociacion,Caqueta,4,4,0.5,Nucleo 2
634,PVDc,Asociacion,Caqueta,2,4,0.36,Nucleo 2
635,PUCa,Asociacion,Caqueta,2,4,0.25,Nucleo 2
636,LUBb,Asociacion,Caqueta,3,4,0.615,Nucleo 2
637,PUAa,Asociacion,Caqueta,2,4,0.5,Nucleo 2
638,PUAa,Asociacion,Caqueta,2,4,0.5,Nucleo 2
639,MUCb,Asociacion,Caqueta,2,4,0.36,Nucleo 2
640,PUAb,Asociacion,Caqueta,2,4,0.5,Nucleo 2
641,VUCa,Asociacion,Caqueta,2,4,0.48,Nucleo 2
642,VUBa,Asociacion,Caqueta,3,4,0.66,Nucleo 2
655,LVAd2,Asociacion,Caqueta,4,4,0.5,Nucleo 2
656,PVBc,Asociacion,Caqueta,4,4,0.41,Nucleo 2
657,PVAc,Asociacion,Caqueta,3,4,0.66,Nucleo 2
684,LVDe,Asociacion,Caqueta,2,4,0.48,Nucleo 2
685,LVCc,Asociacion,Caqueta,3,4,0.66,Nucleo 2
686,LVAd,Asociacion,Caqueta,4,4,0.5,Nucleo 2
687,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
695,MVBe,Asociacion,Caqueta,3,4,0.64,Nucleo 2
696,MVBf,Asociacion,Caqueta,3,4,0.64,Nucleo 2
697,MVBf,Asociacion,Caqueta,3,4,0.64,Nucleo 2
698,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
700,LVCb,Asociacion,Caqueta,3,4,0.66,Nucleo 2
701,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
702,LVAc,Asociacion,Caqueta,4,4,0.5,Nucleo 2
704,VVCa,Asociacion,Caqueta,3,4,0.28,Nucleo 2
705,PVEai,Asociacion,Caqueta,3,4,0.6,Nucleo 2
706,VVCa,Asociacion,Caqueta,3,4,0.28,Nucleo 2
709,LVAd2,Asociacion,Caqueta,4,4,0.5,Nucleo 2
710,LVCa,Asociacion,Caqueta,3,4,0.66,Nucleo 2
711,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
712,VVCa,Asociacion,Caqueta,3,4,0.28,Nucleo 2
713,VVCa,Asociacion,Caqueta,3,4,0.28,Nucleo 2
716,LVAc,Asociacion,Caqueta,4,4,0.5,Nucleo 2
729,LVDb,Asociacion,Caqueta,2,4,0.48,Nucleo 2
730,MPAe,Asociacion,Caqueta,3,4,0.48,Nucleo 2
735,LVCb,Asociacion,Caqueta,3,4,0.66,Nucleo 2
745,VVCa,Asociacion,Caqueta,3,4,0.28,Nucleo 2
746,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
747,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
748,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
749,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
750,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
751,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
752,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
753,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
754,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
755,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
756,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
757,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
758,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
759,LVAc,Asociacion,Caqueta,4,4,0.5,Nucleo 2
760,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
762,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
763,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
764,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
765,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
766,LVAd2,Asociacion,Caqueta,4,4,0.5,Nucleo 2
768,LVCa,Asociacion,Caqueta,3,4,0.66,Nucleo 2
770,LVCa,Asociacion,Caqueta,3,4,0.66,Nucleo 2
771,LVDb,Asociacion,Caqueta,2,4,0.48,Nucleo 2
772,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
773,LVDb,Asociacion,Caqueta,2,4,0.48,Nucleo 2
774,LVAc,Asociacion,Caqueta,4,4,0.5,Nucleo 2
775,LVCb,Asociacion,Caqueta,3,4,0.66,Nucleo 2
776,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
777,LVAc,Asociacion,Caqueta,4,4,0.5,Nucleo 2
778,LVCb,Asociacion,Caqueta,3,4,0.66,Nucleo 2
779,LVCb,Asociacion,Caqueta,3,4,0.66,Nucleo 2
780,LVCb,Asociacion,Caqueta,3,4,0.66,Nucleo 2
781,LVDb,Asociacion,Caqueta,2,4,0.48,Nucleo 2
782,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
