OBJECTID,UCS_F,UCS_TIPO,DEPTO,NUM_SUELOS,NIVEL_TAXO,RAO,NUCLEO_ID
141,LVCb,Complejo,Guaviare,6,4,0.63,1
142,LVDd1,Asociacion,Guaviare,5,4,0.465,1
143,LVDc,Asociacion,Guaviare,5,4,0.465,1
144,VVBa,Consociacion,Guaviare,4,4,0.57,1
145,VVBa,Consociacion,Guaviare,4,4,0.57,1
146,LVAa,Consociacion,Guaviare,4,4,0.4825,1
147,LVHai,Disociacion,Guaviare,6,4,0.64625,1
148,LVHai,Disociacion,Guaviare,6,4,0.64625,1
149,LVEd1,Consociacion,Guaviare,1,4,0.095,1
150,LVCc,Complejo,Guaviare,6,4,0.63,1
151,VVBa,Consociacion,Guaviare,4,4,0.57,1
152,LVAa,Consociacion,Guaviare,4,4,0.4825,1
153,LVAa,Consociacion,Guaviare,4,4,0.4825,1
154,VVBa,Consociacion,Guaviare,4,4,0.57,1
155,LVDc,Asociacion,Guaviare,5,4,0.465,1
156,LVDc,Asociacion,Guaviare,5,4,0.465,1
157,VVBa,Consociacion,Guaviare,4,4,0.57,1
158,LVAa,Consociacion,Guaviare,4,4,0.4825,1
159,LVDc,Asociacion,Guaviare,5,4,0.465,1
160,LVHai,Disociacion,Guaviare,6,4,0.64625,1
161,LVAa,Consociacion,Guaviare,4,4,0.4825,1
162,LVDc,Asociacion,Guaviare,5,4,0.465,1
163,VVBa,Consociacion,Guaviare,4,4,0.57,1
164,LVDd1,Asociacion,Guaviare,5,4,0.465,1
165,RVAai,Asociacion,Guaviare,3,4,0.405,1
166,RVBai,Complejo,Guaviare,3,4,0.345,1
167,LVBa,Consociacion,Guaviare,5,4,0.35375,1
168,ZVAb,Disociacion,Guaviare,5,4,0.64,1
169,LVHai,Disociacion,Guaviare,6,4,0.64625,1
170,VVBa,Consociacion,Guaviare,4,4,0.57,1
171,LVAa,Consociacion,Guaviare,4,4,0.4825,1
172,LVDc,Asociacion,Guaviare,5,4,0.465,1
173,LVBa,Consociacion,Guaviare,5,4,0.35375,1
174,LVBb,Consociacion,Guaviare,5,4,0.35375,1
175,LVDc,Asociacion,Guaviare,5,4,0.465,1
176,LVBb,Consociacion,Guaviare,5,4,0.35375,1
177,LVBb,Consociacion,Guaviare,5,4,0.35375,1
178,VVBa,Consociacion,Guaviare,4,4,0.57,1
179,VVBa,Consociacion,Guaviare,4,4,0.57,1
180,LVHai,Disociacion,Guaviare,6,4,0.64625,1
181,LVHai,Disociacion,Guaviare,6,4,0.64625,1
182,ZVBd1,Asociacion,Guaviare,3,4,0.375,1
183,ZVBd1,Asociacion,Guaviare,3,4,0.375,1
184,LVDc,Asociacion,Guaviare,5,4,0.465,1
185,LVHai,Disociacion,Guaviare,6,4,0.64625,1
186,ZVAc,Disociacion,Guaviare,5,4,0.64,1
187,LVAb,Consociacion,Guaviare,4,4,0.4825,1
188,LVAb,Consociacion,Guaviare,4,4,0.4825,1
189,LVEd1,Consociacion,Guaviare,1,4,0.095,1
190,LVDc,Asociacion,Guaviare,5,4,0.465,1
191,ZVAa,Disociacion,Guaviare,5,4,0.64,1
192,LVHai,Disociacion,Guaviare,6,4,0.64625,1
193,LVDc,Asociacion,Guaviare,5,4,0.465,1
194,LVAb,Consociacion,Guaviare,4,4,0.4825,1
195,LVAa,Consociacion,Guaviare,4,4,0.4825,1
196,RVBai,Complejo,Guaviare,3,4,0.345,1
197,RVBai,Complejo,Guaviare,3,4,0.345,1
198,RVBai,Complejo,Guaviare,3,4,0.345,1
199,LVDc,Asociacion,Guaviare,5,4,0.465,1
200,LVDd1,Asociacion,Guaviare,5,4,0.465,1
201,LVBb,Consociacion,Guaviare,5,4,0.35375,1
202,LVAa,Consociacion,Guaviare,4,4,0.4825,1
203,LVAa,Consociacion,Guaviare,4,4,0.4825,1
204,LVHai,Disociacion,Guaviare,6,4,0.64625,1
205,LVAb,Consociacion,Guaviare,4,4,0.4825,1
206,RVDa,Asociacion,Guaviare,4,4,0.555,1
207,LVDd1,Asociacion,Guaviare,5,4,0.465,1
208,RVBai,Complejo,Guaviare,3,4,0.345,1
209,LVHai,Disociacion,Guaviare,6,4,0.64625,1
210,RVDa,Asociacion,Guaviare,4,4,0.555,1
211,LVDd1,Asociacion,Guaviare,5,4,0.465,1
212,LVAb,Consociacion,Guaviare,4,4,0.4825,1
213,LVAa,Consociacion,Guaviare,4,4,0.4825,1
214,LVAa,Consociacion,Guaviare,4,4,0.4825,1
215,LVDc,Asociacion,Guaviare,5,4,0.465,1
216,LVAa,Consociacion,Guaviare,4,4,0.4825,1
217,LVDc,Asociacion,Guaviare,5,4,0.465,1
218,LVDc,Asociacion,Guaviare,5,4,0.465,1
219,LVAb,Consociacion,Guaviare,4,4,0.4825,1
220,LVCb,Complejo,Guaviare,6,4,0.63,1
221,LVFd1,Asociacion,Guaviare,3,4,0.605,1
222,LVAa,Consociacion,Guaviare,4,4,0.4825,1
223,LVAa,Consociacion,Guaviare,4,4,0.4825,1
224,LVDc,Asociacion,Guaviare,5,4,0.465,1
225,LVAa,Consociacion,Guaviare,4,4,0.4825,1
226,LVCb,Complejo,Guaviare,6,4,0.63,1
227,RVBai,Complejo,Guaviare,3,4,0.345,1
228,RVAai,Asociacion,Guaviare,3,4,0.405,1
229,LVDc,Asociacion,Guaviare,5,4,0.465,1
230,RVDa,Asociacion,Guaviare,4,4,0.555,1
231,LVAb,Consociacion,Guaviare,4,4,0.4825,1
232,LVAa,Consociacion,Guaviare,4,4,0.4825,1
233,LVAa,Consociacion,Guaviare,4,4,0.4825,1
234,LVDc,Asociacion,Guaviare,5,4,0.465,1
235,LVDd1,Asociacion,Guaviare,5,4,0.465,1
236,LVDc,Asociacion,Guaviare,5,4,0.465,1
237,LVDc,Asociacion,Guaviare,5,4,0.465,1
238,LVDc,Asociacion,Guaviare,5,4,0.465,1
239,LVHai,Disociacion,Guaviare,6,4,0.64625,1
240,LVAa,Consociacion,Guaviare,4,4,0.4825,1
